boat_id;x;y;width;height;timestamp
Boat 9;66;277;75;26;1.2345666666666666
Boat 1;126;896;74;84;0.0
Boat 2;132;869;60;48;0.0
Boat 3;119;736;81;57;0.0
Boat 4;78;732;176;109;0.0
Boat 5;40;686;148;85;0.0
Boat 6;391;562;280;131;0.0
Boat 7;1033;561;96;106;0.0
Boat 8;0;415;274;145;0.0
Boat 9;582;396;180;59;0.0
Boat 9;126;896;74;84;1.2679333333333334
Boat 9;132;869;60;48;1.2679333333333334
Boat 9;119;736;81;57;1.2679333333333334
Boat 9;78;732;176;109;1.2679333333333334
Boat 9;40;686;148;85;1.2679333333333334
Boat 9;391;562;280;131;1.2679333333333334
Boat 9;1033;561;96;106;1.2679333333333334
